County	X
Grand Total	3,736
ALACHUA	86
BAKER	2
BAY	33
BRADFORD	0
BREVARD	96
BROWARD	427
CALHOUN	1
CHARLOTTE	35
CITRUS	27
CLAY	46
COLLIER	57
COLUMBIA	19
DESOTO	2
DUVAL	230
ESCAMBIA	106
FLAGLER	6
FRANKLIN	0
GADSDEN	133
GULF	1
HARDEE	0
HENDRY	2
HERNANDO	29
HIGHLANDS	21
HILLSBOROUGH	186
HOLMES	0
INDIAN RIVER	5
JACKSON	13
LAKE	79
LEE	117
LEON	78
MADISON	1
MANATEE	27
MARION	67
MARTIN	11
MIAMI-DADE	682
MONROE	1
NASSAU	7
OKALOOSA	27
OKEECHOBEE	11
ORANGE	184
OSCEOLA	70
PALM BEACH	178
PASCO	57
PINELLAS	142
POLK	139
PUTNAM	10
SANTA ROSA	13
SARASOTA	41
SEMINOLE	58
ST. JOHNS	9
ST. LUCIE	72
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	10
VOLUSIA	59
WALTON	2
WASHINGTON	6
