County	X
Grand Total	4,290
ALACHUA	109
BAKER	1
BAY	39
BRADFORD	0
BREVARD	69
BROWARD	432
CALHOUN	0
CHARLOTTE	69
CITRUS	65
CLAY	40
COLLIER	88
COLUMBIA	19
DESOTO	3
DUVAL	230
ESCAMBIA	92
FLAGLER	14
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	4
HERNANDO	52
HIGHLANDS	55
HILLSBOROUGH	248
HOLMES	2
INDIAN RIVER	18
JACKSON	19
LAKE	84
LEE	123
LEON	41
MADISON	0
MANATEE	50
MARION	54
MARTIN	20
MIAMI-DADE	782
MONROE	8
NASSAU	6
OKALOOSA	52
OKEECHOBEE	10
ORANGE	188
OSCEOLA	96
PALM BEACH	274
PASCO	114
PINELLAS	185
POLK	132
PUTNAM	5
SANTA ROSA	15
SARASOTA	99
SEMINOLE	63
ST. JOHNS	22
ST. LUCIE	60
SUMTER	22
SUWANNEE	0
TAYLOR	2
UNION	0
VOLUSIA	95
WALTON	9
WASHINGTON	11
