County	X
Grand Total	7,023
ALACHUA	220
BAKER	77
BAY	83
BRADFORD	0
BREVARD	173
BROWARD	633
CALHOUN	2
CHARLOTTE	77
CITRUS	43
CLAY	92
COLLIER	117
COLUMBIA	32
DESOTO	8
DUVAL	417
ESCAMBIA	216
FLAGLER	29
FRANKLIN	1
GADSDEN	0
GULF	5
HARDEE	0
HENDRY	0
HERNANDO	58
HIGHLANDS	53
HILLSBOROUGH	392
HOLMES	6
INDIAN RIVER	47
JACKSON	18
LAKE	154
LEE	125
LEON	134
MADISON	2
MANATEE	93
MARION	114
MARTIN	41
MIAMI-DADE	1,015
MONROE	9
NASSAU	10
OKALOOSA	56
OKEECHOBEE	22
ORANGE	363
OSCEOLA	185
PALM BEACH	444
PASCO	159
PINELLAS	326
POLK	277
PUTNAM	23
SANTA ROSA	23
SARASOTA	134
SEMINOLE	107
ST. JOHNS	41
ST. LUCIE	144
SUMTER	58
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	138
WALTON	17
WASHINGTON	10
