County	X
Grand Total	9,520
ALACHUA	126
BAKER	34
BAY	92
BRADFORD	0
BREVARD	130
BROWARD	1,290
CALHOUN	1
CHARLOTTE	55
CITRUS	30
CLAY	84
COLLIER	173
COLUMBIA	37
DESOTO	4
DUVAL	528
ESCAMBIA	199
FLAGLER	21
FRANKLIN	0
GADSDEN	14
GULF	0
HARDEE	0
HENDRY	8
HERNANDO	84
HIGHLANDS	54
HILLSBOROUGH	604
HOLMES	1
INDIAN RIVER	32
JACKSON	26
LAKE	114
LEE	270
LEON	76
MADISON	0
MANATEE	116
MARION	107
MARTIN	37
MIAMI-DADE	2,058
MONROE	20
NASSAU	4
OKALOOSA	43
OKEECHOBEE	12
ORANGE	596
OSCEOLA	191
PALM BEACH	623
PASCO	137
PINELLAS	454
POLK	277
PUTNAM	18
SANTA ROSA	17
SARASOTA	154
SEMINOLE	174
ST. JOHNS	40
ST. LUCIE	145
SUMTER	32
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	164
WALTON	11
WASHINGTON	3
