County	X
Grand Total	3,151
ALACHUA	70
BAKER	1
BAY	29
BRADFORD	0
BREVARD	72
BROWARD	300
CALHOUN	0
CHARLOTTE	53
CITRUS	36
CLAY	30
COLLIER	71
COLUMBIA	6
DESOTO	7
DUVAL	179
ESCAMBIA	79
FLAGLER	9
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	56
HIGHLANDS	64
HILLSBOROUGH	225
HOLMES	1
INDIAN RIVER	17
JACKSON	21
LAKE	36
LEE	81
LEON	31
MADISON	0
MANATEE	30
MARION	45
MARTIN	10
MIAMI-DADE	440
MONROE	8
NASSAU	4
OKALOOSA	45
OKEECHOBEE	5
ORANGE	157
OSCEOLA	79
PALM BEACH	227
PASCO	83
PINELLAS	162
POLK	99
PUTNAM	10
SANTA ROSA	12
SARASOTA	83
SEMINOLE	45
ST. JOHNS	7
ST. LUCIE	40
SUMTER	11
SUWANNEE	0
TAYLOR	0
UNION	2
VOLUSIA	56
WALTON	11
WASHINGTON	6
