County	X
Grand Total	4,367
ALACHUA	86
BAKER	4
BAY	46
BRADFORD	0
BREVARD	95
BROWARD	583
CALHOUN	0
CHARLOTTE	36
CITRUS	32
CLAY	38
COLLIER	59
COLUMBIA	13
DESOTO	5
DUVAL	228
ESCAMBIA	76
FLAGLER	17
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	1
HERNANDO	44
HIGHLANDS	41
HILLSBOROUGH	230
HOLMES	2
INDIAN RIVER	22
JACKSON	8
LAKE	95
LEE	72
LEON	15
MADISON	0
MANATEE	50
MARION	70
MARTIN	29
MIAMI-DADE	664
MONROE	3
NASSAU	5
OKALOOSA	29
OKEECHOBEE	11
ORANGE	230
OSCEOLA	108
PALM BEACH	348
PASCO	92
PINELLAS	245
POLK	185
PUTNAM	4
SANTA ROSA	5
SARASOTA	71
SEMINOLE	76
ST. JOHNS	9
ST. LUCIE	91
SUMTER	78
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	110
WALTON	6
WASHINGTON	0
