County	X
Grand Total	2,815
ALACHUA	91
BAKER	34
BAY	24
BRADFORD	0
BREVARD	69
BROWARD	312
CALHOUN	0
CHARLOTTE	22
CITRUS	26
CLAY	36
COLLIER	38
COLUMBIA	13
DESOTO	1
DUVAL	155
ESCAMBIA	69
FLAGLER	11
FRANKLIN	0
GADSDEN	87
GULF	1
HARDEE	0
HENDRY	3
HERNANDO	18
HIGHLANDS	29
HILLSBOROUGH	157
HOLMES	0
INDIAN RIVER	7
JACKSON	11
LAKE	42
LEE	74
LEON	57
MADISON	0
MANATEE	19
MARION	49
MARTIN	14
MIAMI-DADE	472
MONROE	3
NASSAU	4
OKALOOSA	24
OKEECHOBEE	12
ORANGE	125
OSCEOLA	53
PALM BEACH	153
PASCO	21
PINELLAS	119
POLK	115
PUTNAM	3
SANTA ROSA	5
SARASOTA	43
SEMINOLE	36
ST. JOHNS	14
ST. LUCIE	56
SUMTER	12
SUWANNEE	0
TAYLOR	0
UNION	14
VOLUSIA	56
WALTON	5
WASHINGTON	1
