County	X
Grand Total	4,676
ALACHUA	85
BAKER	8
BAY	49
BRADFORD	0
BREVARD	95
BROWARD	614
CALHOUN	0
CHARLOTTE	54
CITRUS	42
CLAY	41
COLLIER	70
COLUMBIA	15
DESOTO	1
DUVAL	262
ESCAMBIA	88
FLAGLER	20
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	0
HERNANDO	55
HIGHLANDS	40
HILLSBOROUGH	239
HOLMES	2
INDIAN RIVER	25
JACKSON	8
LAKE	115
LEE	65
LEON	74
MADISON	2
MANATEE	55
MARION	101
MARTIN	35
MIAMI-DADE	732
MONROE	6
NASSAU	8
OKALOOSA	35
OKEECHOBEE	8
ORANGE	217
OSCEOLA	114
PALM BEACH	338
PASCO	82
PINELLAS	248
POLK	197
PUTNAM	4
SANTA ROSA	7
SARASOTA	50
SEMINOLE	70
ST. JOHNS	12
ST. LUCIE	103
SUMTER	78
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	100
WALTON	6
WASHINGTON	0
