County	X
Grand Total	2,133
ALACHUA	68
BAKER	1
BAY	13
BRADFORD	0
BREVARD	69
BROWARD	175
CALHOUN	0
CHARLOTTE	20
CITRUS	7
CLAY	34
COLLIER	36
COLUMBIA	18
DESOTO	2
DUVAL	126
ESCAMBIA	35
FLAGLER	8
FRANKLIN	1
GADSDEN	9
GULF	0
HARDEE	0
HENDRY	3
HERNANDO	21
HIGHLANDS	21
HILLSBOROUGH	167
HOLMES	0
INDIAN RIVER	8
JACKSON	9
LAKE	39
LEE	45
LEON	42
MADISON	0
MANATEE	29
MARION	21
MARTIN	8
MIAMI-DADE	260
MONROE	4
NASSAU	2
OKALOOSA	16
OKEECHOBEE	11
ORANGE	155
OSCEOLA	75
PALM BEACH	115
PASCO	50
PINELLAS	119
POLK	77
PUTNAM	2
SANTA ROSA	5
SARASOTA	32
SEMINOLE	27
ST. JOHNS	5
ST. LUCIE	38
SUMTER	25
SUWANNEE	0
TAYLOR	0
UNION	14
VOLUSIA	58
WALTON	5
WASHINGTON	3
