County	X
Grand Total	4,745
ALACHUA	116
BAKER	0
BAY	72
BRADFORD	0
BREVARD	114
BROWARD	637
CALHOUN	0
CHARLOTTE	38
CITRUS	30
CLAY	60
COLLIER	71
COLUMBIA	16
DESOTO	2
DUVAL	270
ESCAMBIA	116
FLAGLER	9
FRANKLIN	0
GADSDEN	114
GULF	2
HARDEE	0
HENDRY	2
HERNANDO	29
HIGHLANDS	28
HILLSBOROUGH	241
HOLMES	3
INDIAN RIVER	13
JACKSON	11
LAKE	57
LEE	148
LEON	89
MADISON	0
MANATEE	43
MARION	99
MARTIN	22
MIAMI-DADE	895
MONROE	4
NASSAU	9
OKALOOSA	33
OKEECHOBEE	12
ORANGE	248
OSCEOLA	86
PALM BEACH	269
PASCO	52
PINELLAS	159
POLK	163
PUTNAM	8
SANTA ROSA	13
SARASOTA	68
SEMINOLE	68
ST. JOHNS	11
ST. LUCIE	76
SUMTER	16
SUWANNEE	0
TAYLOR	0
UNION	3
VOLUSIA	94
WALTON	3
WASHINGTON	3
