County	X
Grand Total	4,159
ALACHUA	120
BAKER	0
BAY	33
BRADFORD	0
BREVARD	86
BROWARD	422
CALHOUN	1
CHARLOTTE	63
CITRUS	57
CLAY	48
COLLIER	87
COLUMBIA	24
DESOTO	7
DUVAL	211
ESCAMBIA	80
FLAGLER	12
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	1
HERNANDO	66
HIGHLANDS	55
HILLSBOROUGH	253
HOLMES	3
INDIAN RIVER	21
JACKSON	24
LAKE	76
LEE	112
LEON	39
MADISON	0
MANATEE	54
MARION	47
MARTIN	25
MIAMI-DADE	644
MONROE	9
NASSAU	3
OKALOOSA	48
OKEECHOBEE	11
ORANGE	190
OSCEOLA	104
PALM BEACH	293
PASCO	116
PINELLAS	200
POLK	132
PUTNAM	7
SANTA ROSA	15
SARASOTA	89
SEMINOLE	63
ST. JOHNS	22
ST. LUCIE	62
SUMTER	22
SUWANNEE	0
TAYLOR	1
UNION	1
VOLUSIA	86
WALTON	5
WASHINGTON	9
