County	X
Grand Total	4,932
ALACHUA	117
BAKER	6
BAY	62
BRADFORD	0
BREVARD	87
BROWARD	487
CALHOUN	0
CHARLOTTE	89
CITRUS	47
CLAY	57
COLLIER	96
COLUMBIA	24
DESOTO	4
DUVAL	262
ESCAMBIA	128
FLAGLER	9
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	1
HERNANDO	56
HIGHLANDS	57
HILLSBOROUGH	289
HOLMES	5
INDIAN RIVER	19
JACKSON	19
LAKE	108
LEE	127
LEON	43
MADISON	1
MANATEE	54
MARION	66
MARTIN	33
MIAMI-DADE	875
MONROE	6
NASSAU	9
OKALOOSA	51
OKEECHOBEE	7
ORANGE	250
OSCEOLA	122
PALM BEACH	291
PASCO	128
PINELLAS	228
POLK	162
PUTNAM	18
SANTA ROSA	13
SARASOTA	111
SEMINOLE	67
ST. JOHNS	23
ST. LUCIE	74
SUMTER	28
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	99
WALTON	10
WASHINGTON	7
