County	X
Grand Total	2,485
ALACHUA	58
BAKER	2
BAY	16
BRADFORD	0
BREVARD	70
BROWARD	248
CALHOUN	0
CHARLOTTE	34
CITRUS	22
CLAY	25
COLLIER	46
COLUMBIA	19
DESOTO	1
DUVAL	152
ESCAMBIA	52
FLAGLER	7
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	28
HIGHLANDS	31
HILLSBOROUGH	182
HOLMES	1
INDIAN RIVER	15
JACKSON	10
LAKE	32
LEE	70
LEON	43
MADISON	0
MANATEE	33
MARION	24
MARTIN	4
MIAMI-DADE	334
MONROE	3
NASSAU	3
OKALOOSA	33
OKEECHOBEE	1
ORANGE	132
OSCEOLA	70
PALM BEACH	158
PASCO	58
PINELLAS	134
POLK	72
PUTNAM	6
SANTA ROSA	4
SARASOTA	61
SEMINOLE	47
ST. JOHNS	9
ST. LUCIE	54
SUMTER	13
SUWANNEE	0
TAYLOR	0
UNION	4
VOLUSIA	55
WALTON	4
WASHINGTON	2
