County	X
Grand Total	2,672
ALACHUA	64
BAKER	0
BAY	18
BRADFORD	0
BREVARD	72
BROWARD	271
CALHOUN	0
CHARLOTTE	38
CITRUS	27
CLAY	30
COLLIER	47
COLUMBIA	10
DESOTO	3
DUVAL	170
ESCAMBIA	52
FLAGLER	7
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	34
HIGHLANDS	33
HILLSBOROUGH	193
HOLMES	1
INDIAN RIVER	19
JACKSON	19
LAKE	37
LEE	60
LEON	40
MADISON	0
MANATEE	30
MARION	35
MARTIN	7
MIAMI-DADE	349
MONROE	5
NASSAU	2
OKALOOSA	42
OKEECHOBEE	1
ORANGE	134
OSCEOLA	70
PALM BEACH	162
PASCO	83
PINELLAS	143
POLK	82
PUTNAM	9
SANTA ROSA	7
SARASOTA	66
SEMINOLE	52
ST. JOHNS	5
ST. LUCIE	45
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	4
VOLUSIA	61
WALTON	11
WASHINGTON	4
