County	X
Grand Total	4,646
ALACHUA	121
BAKER	0
BAY	69
BRADFORD	0
BREVARD	99
BROWARD	600
CALHOUN	0
CHARLOTTE	45
CITRUS	29
CLAY	58
COLLIER	71
COLUMBIA	21
DESOTO	2
DUVAL	258
ESCAMBIA	115
FLAGLER	10
FRANKLIN	0
GADSDEN	114
GULF	1
HARDEE	0
HENDRY	2
HERNANDO	31
HIGHLANDS	24
HILLSBOROUGH	242
HOLMES	3
INDIAN RIVER	9
JACKSON	14
LAKE	68
LEE	134
LEON	89
MADISON	0
MANATEE	39
MARION	94
MARTIN	23
MIAMI-DADE	902
MONROE	4
NASSAU	10
OKALOOSA	33
OKEECHOBEE	12
ORANGE	236
OSCEOLA	88
PALM BEACH	237
PASCO	51
PINELLAS	151
POLK	178
PUTNAM	6
SANTA ROSA	18
SARASOTA	54
SEMINOLE	75
ST. JOHNS	11
ST. LUCIE	76
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	4
VOLUSIA	96
WALTON	2
WASHINGTON	2
