County	X
Grand Total	4,465
ALACHUA	92
BAKER	4
BAY	46
BRADFORD	0
BREVARD	95
BROWARD	603
CALHOUN	0
CHARLOTTE	41
CITRUS	36
CLAY	44
COLLIER	61
COLUMBIA	15
DESOTO	3
DUVAL	248
ESCAMBIA	71
FLAGLER	15
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	44
HIGHLANDS	32
HILLSBOROUGH	217
HOLMES	2
INDIAN RIVER	26
JACKSON	9
LAKE	95
LEE	76
LEON	18
MADISON	0
MANATEE	53
MARION	76
MARTIN	34
MIAMI-DADE	700
MONROE	3
NASSAU	8
OKALOOSA	32
OKEECHOBEE	10
ORANGE	212
OSCEOLA	107
PALM BEACH	350
PASCO	88
PINELLAS	254
POLK	195
PUTNAM	3
SANTA ROSA	5
SARASOTA	70
SEMINOLE	74
ST. JOHNS	11
ST. LUCIE	93
SUMTER	80
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	108
WALTON	5
WASHINGTON	1
