County	X
Grand Total	2,074
ALACHUA	55
BAKER	0
BAY	24
BRADFORD	0
BREVARD	55
BROWARD	185
CALHOUN	0
CHARLOTTE	28
CITRUS	19
CLAY	35
COLLIER	24
COLUMBIA	21
DESOTO	0
DUVAL	102
ESCAMBIA	42
FLAGLER	5
FRANKLIN	0
GADSDEN	4
GULF	0
HARDEE	0
HENDRY	3
HERNANDO	28
HIGHLANDS	19
HILLSBOROUGH	136
HOLMES	1
INDIAN RIVER	10
JACKSON	7
LAKE	33
LEE	67
LEON	41
MADISON	0
MANATEE	24
MARION	27
MARTIN	5
MIAMI-DADE	275
MONROE	4
NASSAU	3
OKALOOSA	26
OKEECHOBEE	3
ORANGE	116
OSCEOLA	84
PALM BEACH	114
PASCO	37
PINELLAS	116
POLK	83
PUTNAM	5
SANTA ROSA	1
SARASOTA	42
SEMINOLE	29
ST. JOHNS	6
ST. LUCIE	46
SUMTER	10
SUWANNEE	0
TAYLOR	0
UNION	13
VOLUSIA	51
WALTON	7
WASHINGTON	3
