County	X
Grand Total	3,034
ALACHUA	73
BAKER	1
BAY	23
BRADFORD	0
BREVARD	81
BROWARD	291
CALHOUN	0
CHARLOTTE	49
CITRUS	27
CLAY	42
COLLIER	62
COLUMBIA	9
DESOTO	4
DUVAL	168
ESCAMBIA	63
FLAGLER	6
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	35
HIGHLANDS	58
HILLSBOROUGH	237
HOLMES	1
INDIAN RIVER	19
JACKSON	25
LAKE	32
LEE	84
LEON	40
MADISON	0
MANATEE	37
MARION	35
MARTIN	9
MIAMI-DADE	400
MONROE	5
NASSAU	4
OKALOOSA	40
OKEECHOBEE	4
ORANGE	143
OSCEOLA	75
PALM BEACH	213
PASCO	92
PINELLAS	161
POLK	97
PUTNAM	9
SANTA ROSA	4
SARASOTA	72
SEMINOLE	49
ST. JOHNS	5
ST. LUCIE	47
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	4
VOLUSIA	67
WALTON	14
WASHINGTON	3
