County	X
Grand Total	6,375
ALACHUA	150
BAKER	46
BAY	76
BRADFORD	0
BREVARD	160
BROWARD	657
CALHOUN	0
CHARLOTTE	59
CITRUS	61
CLAY	59
COLLIER	79
COLUMBIA	21
DESOTO	10
DUVAL	396
ESCAMBIA	157
FLAGLER	25
FRANKLIN	0
GADSDEN	0
GULF	3
HARDEE	0
HENDRY	2
HERNANDO	71
HIGHLANDS	54
HILLSBOROUGH	390
HOLMES	3
INDIAN RIVER	31
JACKSON	13
LAKE	152
LEE	121
LEON	123
MADISON	0
MANATEE	78
MARION	109
MARTIN	49
MIAMI-DADE	950
MONROE	6
NASSAU	8
OKALOOSA	56
OKEECHOBEE	17
ORANGE	312
OSCEOLA	150
PALM BEACH	406
PASCO	141
PINELLAS	323
POLK	253
PUTNAM	16
SANTA ROSA	20
SARASOTA	101
SEMINOLE	107
ST. JOHNS	16
ST. LUCIE	129
SUMTER	43
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	142
WALTON	17
WASHINGTON	7
