County	X
Grand Total	5,129
ALACHUA	87
BAKER	26
BAY	61
BRADFORD	0
BREVARD	118
BROWARD	627
CALHOUN	0
CHARLOTTE	50
CITRUS	43
CLAY	45
COLLIER	71
COLUMBIA	17
DESOTO	5
DUVAL	298
ESCAMBIA	125
FLAGLER	20
FRANKLIN	1
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	2
HERNANDO	50
HIGHLANDS	41
HILLSBOROUGH	326
HOLMES	1
INDIAN RIVER	29
JACKSON	5
LAKE	89
LEE	81
LEON	91
MADISON	3
MANATEE	68
MARION	95
MARTIN	24
MIAMI-DADE	813
MONROE	6
NASSAU	11
OKALOOSA	48
OKEECHOBEE	10
ORANGE	253
OSCEOLA	116
PALM BEACH	364
PASCO	90
PINELLAS	225
POLK	209
PUTNAM	15
SANTA ROSA	16
SARASOTA	66
SEMINOLE	74
ST. JOHNS	19
ST. LUCIE	114
SUMTER	41
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	127
WALTON	9
WASHINGTON	1
