County	X
Grand Total	6,565
ALACHUA	156
BAKER	48
BAY	93
BRADFORD	0
BREVARD	168
BROWARD	626
CALHOUN	0
CHARLOTTE	58
CITRUS	56
CLAY	61
COLLIER	80
COLUMBIA	23
DESOTO	10
DUVAL	409
ESCAMBIA	168
FLAGLER	26
FRANKLIN	0
GADSDEN	0
GULF	5
HARDEE	0
HENDRY	3
HERNANDO	78
HIGHLANDS	49
HILLSBOROUGH	386
HOLMES	4
INDIAN RIVER	43
JACKSON	13
LAKE	154
LEE	133
LEON	126
MADISON	1
MANATEE	84
MARION	106
MARTIN	42
MIAMI-DADE	975
MONROE	5
NASSAU	10
OKALOOSA	59
OKEECHOBEE	18
ORANGE	321
OSCEOLA	182
PALM BEACH	419
PASCO	145
PINELLAS	342
POLK	243
PUTNAM	16
SANTA ROSA	22
SARASOTA	112
SEMINOLE	110
ST. JOHNS	16
ST. LUCIE	136
SUMTER	44
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	155
WALTON	19
WASHINGTON	7
