County	X
Grand Total	3,075
ALACHUA	98
BAKER	34
BAY	27
BRADFORD	0
BREVARD	73
BROWARD	332
CALHOUN	0
CHARLOTTE	27
CITRUS	34
CLAY	38
COLLIER	40
COLUMBIA	12
DESOTO	3
DUVAL	168
ESCAMBIA	80
FLAGLER	14
FRANKLIN	0
GADSDEN	107
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	19
HIGHLANDS	21
HILLSBOROUGH	161
HOLMES	0
INDIAN RIVER	10
JACKSON	8
LAKE	60
LEE	97
LEON	65
MADISON	0
MANATEE	10
MARION	51
MARTIN	13
MIAMI-DADE	535
MONROE	2
NASSAU	5
OKALOOSA	26
OKEECHOBEE	8
ORANGE	131
OSCEOLA	57
PALM BEACH	158
PASCO	35
PINELLAS	136
POLK	127
PUTNAM	1
SANTA ROSA	10
SARASOTA	41
SEMINOLE	44
ST. JOHNS	13
ST. LUCIE	55
SUMTER	13
SUWANNEE	0
TAYLOR	0
UNION	15
VOLUSIA	51
WALTON	5
WASHINGTON	2
