County	X
Grand Total	5,235
ALACHUA	127
BAKER	3
BAY	64
BRADFORD	0
BREVARD	83
BROWARD	499
CALHOUN	0
CHARLOTTE	89
CITRUS	40
CLAY	66
COLLIER	76
COLUMBIA	17
DESOTO	4
DUVAL	283
ESCAMBIA	124
FLAGLER	11
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	4
HERNANDO	68
HIGHLANDS	57
HILLSBOROUGH	326
HOLMES	5
INDIAN RIVER	16
JACKSON	11
LAKE	92
LEE	109
LEON	69
MADISON	0
MANATEE	61
MARION	92
MARTIN	28
MIAMI-DADE	957
MONROE	6
NASSAU	9
OKALOOSA	45
OKEECHOBEE	7
ORANGE	290
OSCEOLA	121
PALM BEACH	291
PASCO	152
PINELLAS	240
POLK	174
PUTNAM	17
SANTA ROSA	19
SARASOTA	116
SEMINOLE	78
ST. JOHNS	26
ST. LUCIE	100
SUMTER	43
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	101
WALTON	13
WASHINGTON	5
