County	X
Grand Total	6,787
ALACHUA	169
BAKER	71
BAY	87
BRADFORD	0
BREVARD	165
BROWARD	655
CALHOUN	0
CHARLOTTE	64
CITRUS	50
CLAY	72
COLLIER	93
COLUMBIA	29
DESOTO	13
DUVAL	419
ESCAMBIA	171
FLAGLER	25
FRANKLIN	1
GADSDEN	0
GULF	3
HARDEE	0
HENDRY	4
HERNANDO	65
HIGHLANDS	51
HILLSBOROUGH	378
HOLMES	4
INDIAN RIVER	41
JACKSON	20
LAKE	157
LEE	138
LEON	149
MADISON	3
MANATEE	74
MARION	116
MARTIN	50
MIAMI-DADE	983
MONROE	8
NASSAU	16
OKALOOSA	54
OKEECHOBEE	18
ORANGE	348
OSCEOLA	180
PALM BEACH	441
PASCO	144
PINELLAS	348
POLK	277
PUTNAM	14
SANTA ROSA	22
SARASOTA	111
SEMINOLE	118
ST. JOHNS	24
ST. LUCIE	128
SUMTER	45
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	139
WALTON	23
WASHINGTON	9
