County	X
Grand Total	3,791
ALACHUA	91
BAKER	1
BAY	37
BRADFORD	0
BREVARD	93
BROWARD	467
CALHOUN	0
CHARLOTTE	35
CITRUS	31
CLAY	48
COLLIER	57
COLUMBIA	19
DESOTO	3
DUVAL	219
ESCAMBIA	99
FLAGLER	6
FRANKLIN	0
GADSDEN	175
GULF	1
HARDEE	0
HENDRY	2
HERNANDO	28
HIGHLANDS	21
HILLSBOROUGH	199
HOLMES	0
INDIAN RIVER	6
JACKSON	14
LAKE	78
LEE	113
LEON	82
MADISON	0
MANATEE	25
MARION	75
MARTIN	9
MIAMI-DADE	694
MONROE	1
NASSAU	8
OKALOOSA	28
OKEECHOBEE	9
ORANGE	182
OSCEOLA	66
PALM BEACH	164
PASCO	50
PINELLAS	137
POLK	119
PUTNAM	9
SANTA ROSA	14
SARASOTA	45
SEMINOLE	53
ST. JOHNS	9
ST. LUCIE	79
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	12
VOLUSIA	57
WALTON	2
WASHINGTON	4
