County	X
Grand Total	3,396
ALACHUA	86
BAKER	4
BAY	25
BRADFORD	0
BREVARD	69
BROWARD	319
CALHOUN	0
CHARLOTTE	34
CITRUS	65
CLAY	41
COLLIER	74
COLUMBIA	18
DESOTO	16
DUVAL	180
ESCAMBIA	55
FLAGLER	8
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	49
HIGHLANDS	68
HILLSBOROUGH	241
HOLMES	1
INDIAN RIVER	12
JACKSON	22
LAKE	50
LEE	94
LEON	33
MADISON	0
MANATEE	37
MARION	48
MARTIN	12
MIAMI-DADE	473
MONROE	9
NASSAU	0
OKALOOSA	37
OKEECHOBEE	12
ORANGE	175
OSCEOLA	91
PALM BEACH	239
PASCO	105
PINELLAS	144
POLK	114
PUTNAM	10
SANTA ROSA	12
SARASOTA	107
SEMINOLE	52
ST. JOHNS	14
ST. LUCIE	39
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	75
WALTON	9
WASHINGTON	0
