County	X
Grand Total	4,198
ALACHUA	68
BAKER	0
BAY	44
BRADFORD	0
BREVARD	92
BROWARD	580
CALHOUN	0
CHARLOTTE	34
CITRUS	30
CLAY	29
COLLIER	62
COLUMBIA	16
DESOTO	5
DUVAL	199
ESCAMBIA	77
FLAGLER	11
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	3
HERNANDO	54
HIGHLANDS	40
HILLSBOROUGH	228
HOLMES	0
INDIAN RIVER	22
JACKSON	8
LAKE	74
LEE	61
LEON	52
MADISON	0
MANATEE	53
MARION	85
MARTIN	30
MIAMI-DADE	706
MONROE	3
NASSAU	8
OKALOOSA	22
OKEECHOBEE	11
ORANGE	200
OSCEOLA	98
PALM BEACH	315
PASCO	87
PINELLAS	215
POLK	165
PUTNAM	2
SANTA ROSA	10
SARASOTA	60
SEMINOLE	68
ST. JOHNS	7
ST. LUCIE	94
SUMTER	66
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	98
WALTON	4
WASHINGTON	2
