County	X
Grand Total	4,559
ALACHUA	100
BAKER	3
BAY	38
BRADFORD	0
BREVARD	83
BROWARD	411
CALHOUN	2
CHARLOTTE	90
CITRUS	54
CLAY	62
COLLIER	89
COLUMBIA	23
DESOTO	4
DUVAL	245
ESCAMBIA	111
FLAGLER	12
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	54
HIGHLANDS	46
HILLSBOROUGH	272
HOLMES	1
INDIAN RIVER	22
JACKSON	15
LAKE	76
LEE	139
LEON	44
MADISON	2
MANATEE	68
MARION	54
MARTIN	25
MIAMI-DADE	792
MONROE	2
NASSAU	10
OKALOOSA	60
OKEECHOBEE	6
ORANGE	214
OSCEOLA	91
PALM BEACH	312
PASCO	132
PINELLAS	213
POLK	155
PUTNAM	14
SANTA ROSA	15
SARASOTA	113
SEMINOLE	57
ST. JOHNS	22
ST. LUCIE	56
SUMTER	27
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	100
WALTON	10
WASHINGTON	10
