County	X
Grand Total	3,007
ALACHUA	36
BAKER	0
BAY	7
BRADFORD	0
BREVARD	78
BROWARD	458
CALHOUN	0
CHARLOTTE	22
CITRUS	13
CLAY	15
COLLIER	47
COLUMBIA	6
DESOTO	5
DUVAL	129
ESCAMBIA	27
FLAGLER	11
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	26
HIGHLANDS	30
HILLSBOROUGH	205
HOLMES	0
INDIAN RIVER	15
JACKSON	3
LAKE	35
LEE	67
LEON	20
MADISON	0
MANATEE	35
MARION	38
MARTIN	12
MIAMI-DADE	613
MONROE	4
NASSAU	4
OKALOOSA	14
OKEECHOBEE	6
ORANGE	133
OSCEOLA	62
PALM BEACH	188
PASCO	75
PINELLAS	180
POLK	122
PUTNAM	3
SANTA ROSA	3
SARASOTA	42
SEMINOLE	56
ST. JOHNS	8
ST. LUCIE	63
SUMTER	18
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	71
WALTON	2
WASHINGTON	0
