County	X
Grand Total	4,558
ALACHUA	104
BAKER	2
BAY	38
BRADFORD	0
BREVARD	70
BROWARD	420
CALHOUN	2
CHARLOTTE	85
CITRUS	51
CLAY	59
COLLIER	85
COLUMBIA	19
DESOTO	4
DUVAL	254
ESCAMBIA	116
FLAGLER	20
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	49
HIGHLANDS	46
HILLSBOROUGH	257
HOLMES	1
INDIAN RIVER	20
JACKSON	17
LAKE	81
LEE	133
LEON	42
MADISON	1
MANATEE	66
MARION	58
MARTIN	25
MIAMI-DADE	812
MONROE	3
NASSAU	8
OKALOOSA	59
OKEECHOBEE	6
ORANGE	202
OSCEOLA	102
PALM BEACH	302
PASCO	137
PINELLAS	198
POLK	161
PUTNAM	11
SANTA ROSA	14
SARASOTA	129
SEMINOLE	59
ST. JOHNS	21
ST. LUCIE	58
SUMTER	28
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	101
WALTON	9
WASHINGTON	10
