County	X
Grand Total	4,545
ALACHUA	110
BAKER	1
BAY	66
BRADFORD	0
BREVARD	99
BROWARD	584
CALHOUN	1
CHARLOTTE	41
CITRUS	29
CLAY	54
COLLIER	67
COLUMBIA	21
DESOTO	2
DUVAL	259
ESCAMBIA	123
FLAGLER	8
FRANKLIN	0
GADSDEN	165
GULF	0
HARDEE	0
HENDRY	2
HERNANDO	34
HIGHLANDS	20
HILLSBOROUGH	235
HOLMES	4
INDIAN RIVER	11
JACKSON	11
LAKE	80
LEE	136
LEON	82
MADISON	0
MANATEE	33
MARION	98
MARTIN	23
MIAMI-DADE	831
MONROE	4
NASSAU	5
OKALOOSA	34
OKEECHOBEE	10
ORANGE	228
OSCEOLA	85
PALM BEACH	243
PASCO	43
PINELLAS	131
POLK	156
PUTNAM	6
SANTA ROSA	18
SARASOTA	69
SEMINOLE	77
ST. JOHNS	13
ST. LUCIE	83
SUMTER	12
SUWANNEE	0
TAYLOR	0
UNION	6
VOLUSIA	84
WALTON	4
WASHINGTON	4
