County	X
Grand Total	3,686
ALACHUA	61
BAKER	0
BAY	29
BRADFORD	0
BREVARD	78
BROWARD	537
CALHOUN	0
CHARLOTTE	33
CITRUS	28
CLAY	20
COLLIER	48
COLUMBIA	9
DESOTO	8
DUVAL	181
ESCAMBIA	57
FLAGLER	11
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	44
HIGHLANDS	34
HILLSBOROUGH	225
HOLMES	0
INDIAN RIVER	17
JACKSON	3
LAKE	62
LEE	61
LEON	45
MADISON	1
MANATEE	68
MARION	62
MARTIN	20
MIAMI-DADE	613
MONROE	4
NASSAU	6
OKALOOSA	21
OKEECHOBEE	7
ORANGE	180
OSCEOLA	78
PALM BEACH	257
PASCO	72
PINELLAS	188
POLK	138
PUTNAM	3
SANTA ROSA	6
SARASOTA	55
SEMINOLE	64
ST. JOHNS	5
ST. LUCIE	85
SUMTER	74
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	82
WALTON	3
WASHINGTON	0
