County	X
Grand Total	6,109
ALACHUA	169
BAKER	0
BAY	89
BRADFORD	0
BREVARD	99
BROWARD	561
CALHOUN	0
CHARLOTTE	114
CITRUS	40
CLAY	90
COLLIER	77
COLUMBIA	29
DESOTO	5
DUVAL	378
ESCAMBIA	149
FLAGLER	16
FRANKLIN	0
GADSDEN	0
GULF	3
HARDEE	1
HENDRY	5
HERNANDO	77
HIGHLANDS	49
HILLSBOROUGH	384
HOLMES	3
INDIAN RIVER	44
JACKSON	8
LAKE	142
LEE	127
LEON	88
MADISON	2
MANATEE	85
MARION	100
MARTIN	39
MIAMI-DADE	1,017
MONROE	2
NASSAU	15
OKALOOSA	45
OKEECHOBEE	6
ORANGE	313
OSCEOLA	135
PALM BEACH	333
PASCO	160
PINELLAS	312
POLK	201
PUTNAM	20
SANTA ROSA	35
SARASOTA	131
SEMINOLE	91
ST. JOHNS	31
ST. LUCIE	110
SUMTER	53
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	97
WALTON	17
WASHINGTON	11
