County	X
Grand Total	2,917
ALACHUA	40
BAKER	0
BAY	11
BRADFORD	0
BREVARD	70
BROWARD	459
CALHOUN	1
CHARLOTTE	20
CITRUS	14
CLAY	12
COLLIER	44
COLUMBIA	3
DESOTO	0
DUVAL	125
ESCAMBIA	23
FLAGLER	10
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	25
HIGHLANDS	30
HILLSBOROUGH	201
HOLMES	0
INDIAN RIVER	15
JACKSON	1
LAKE	43
LEE	66
LEON	22
MADISON	0
MANATEE	31
MARION	35
MARTIN	18
MIAMI-DADE	578
MONROE	6
NASSAU	6
OKALOOSA	13
OKEECHOBEE	7
ORANGE	137
OSCEOLA	62
PALM BEACH	171
PASCO	65
PINELLAS	167
POLK	120
PUTNAM	1
SANTA ROSA	5
SARASOTA	41
SEMINOLE	53
ST. JOHNS	9
ST. LUCIE	69
SUMTER	20
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	66
WALTON	2
WASHINGTON	0
