County	X
Grand Total	7,628
ALACHUA	142
BAKER	24
BAY	80
BRADFORD	0
BREVARD	107
BROWARD	1,072
CALHOUN	1
CHARLOTTE	46
CITRUS	23
CLAY	79
COLLIER	121
COLUMBIA	20
DESOTO	2
DUVAL	438
ESCAMBIA	172
FLAGLER	13
FRANKLIN	0
GADSDEN	70
GULF	5
HARDEE	0
HENDRY	11
HERNANDO	55
HIGHLANDS	50
HILLSBOROUGH	435
HOLMES	1
INDIAN RIVER	30
JACKSON	18
LAKE	94
LEE	174
LEON	75
MADISON	0
MANATEE	84
MARION	108
MARTIN	32
MIAMI-DADE	1,670
MONROE	13
NASSAU	2
OKALOOSA	47
OKEECHOBEE	13
ORANGE	404
OSCEOLA	140
PALM BEACH	485
PASCO	101
PINELLAS	307
POLK	263
PUTNAM	10
SANTA ROSA	21
SARASOTA	92
SEMINOLE	112
ST. JOHNS	27
ST. LUCIE	157
SUMTER	25
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	137
WALTON	10
WASHINGTON	10
