County	X
Grand Total	3,437
ALACHUA	77
BAKER	30
BAY	24
BRADFORD	0
BREVARD	78
BROWARD	392
CALHOUN	0
CHARLOTTE	32
CITRUS	23
CLAY	39
COLLIER	44
COLUMBIA	10
DESOTO	3
DUVAL	228
ESCAMBIA	77
FLAGLER	8
FRANKLIN	0
GADSDEN	118
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	24
HIGHLANDS	24
HILLSBOROUGH	152
HOLMES	0
INDIAN RIVER	8
JACKSON	8
LAKE	75
LEE	97
LEON	80
MADISON	1
MANATEE	24
MARION	69
MARTIN	11
MIAMI-DADE	627
MONROE	1
NASSAU	8
OKALOOSA	28
OKEECHOBEE	11
ORANGE	145
OSCEOLA	64
PALM BEACH	214
PASCO	38
PINELLAS	137
POLK	128
PUTNAM	4
SANTA ROSA	8
SARASOTA	45
SEMINOLE	49
ST. JOHNS	10
ST. LUCIE	76
SUMTER	14
SUWANNEE	0
TAYLOR	0
UNION	8
VOLUSIA	55
WALTON	5
WASHINGTON	6
