County	X
Grand Total	2,564
ALACHUA	61
BAKER	1
BAY	18
BRADFORD	0
BREVARD	69
BROWARD	284
CALHOUN	0
CHARLOTTE	32
CITRUS	24
CLAY	29
COLLIER	49
COLUMBIA	11
DESOTO	2
DUVAL	144
ESCAMBIA	47
FLAGLER	7
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	32
HIGHLANDS	31
HILLSBOROUGH	179
HOLMES	1
INDIAN RIVER	19
JACKSON	14
LAKE	31
LEE	65
LEON	38
MADISON	0
MANATEE	34
MARION	34
MARTIN	4
MIAMI-DADE	331
MONROE	4
NASSAU	3
OKALOOSA	40
OKEECHOBEE	0
ORANGE	128
OSCEOLA	71
PALM BEACH	147
PASCO	62
PINELLAS	141
POLK	84
PUTNAM	7
SANTA ROSA	7
SARASOTA	75
SEMINOLE	54
ST. JOHNS	7
ST. LUCIE	45
SUMTER	15
SUWANNEE	0
TAYLOR	0
UNION	4
VOLUSIA	61
WALTON	12
WASHINGTON	3
