County	X
Grand Total	2,823
ALACHUA	39
BAKER	0
BAY	13
BRADFORD	0
BREVARD	65
BROWARD	453
CALHOUN	0
CHARLOTTE	19
CITRUS	19
CLAY	12
COLLIER	37
COLUMBIA	9
DESOTO	0
DUVAL	107
ESCAMBIA	18
FLAGLER	14
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	27
HIGHLANDS	27
HILLSBOROUGH	198
HOLMES	0
INDIAN RIVER	13
JACKSON	1
LAKE	38
LEE	66
LEON	22
MADISON	0
MANATEE	35
MARION	36
MARTIN	9
MIAMI-DADE	554
MONROE	5
NASSAU	4
OKALOOSA	7
OKEECHOBEE	9
ORANGE	129
OSCEOLA	57
PALM BEACH	186
PASCO	63
PINELLAS	154
POLK	128
PUTNAM	2
SANTA ROSA	3
SARASOTA	33
SEMINOLE	56
ST. JOHNS	10
ST. LUCIE	65
SUMTER	18
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	60
WALTON	3
WASHINGTON	0
