County	X
Grand Total	2,356
ALACHUA	66
BAKER	2
BAY	21
BRADFORD	0
BREVARD	68
BROWARD	229
CALHOUN	1
CHARLOTTE	37
CITRUS	21
CLAY	21
COLLIER	48
COLUMBIA	15
DESOTO	0
DUVAL	130
ESCAMBIA	41
FLAGLER	7
FRANKLIN	0
GADSDEN	4
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	31
HIGHLANDS	34
HILLSBOROUGH	163
HOLMES	3
INDIAN RIVER	10
JACKSON	5
LAKE	32
LEE	66
LEON	43
MADISON	0
MANATEE	20
MARION	27
MARTIN	7
MIAMI-DADE	310
MONROE	4
NASSAU	1
OKALOOSA	24
OKEECHOBEE	5
ORANGE	133
OSCEOLA	81
PALM BEACH	151
PASCO	55
PINELLAS	128
POLK	80
PUTNAM	5
SANTA ROSA	4
SARASOTA	44
SEMINOLE	42
ST. JOHNS	9
ST. LUCIE	46
SUMTER	9
SUWANNEE	0
TAYLOR	0
UNION	8
VOLUSIA	58
WALTON	5
WASHINGTON	0
