County	X
Grand Total	5,726
ALACHUA	126
BAKER	3
BAY	60
BRADFORD	0
BREVARD	117
BROWARD	742
CALHOUN	0
CHARLOTTE	36
CITRUS	30
CLAY	61
COLLIER	112
COLUMBIA	29
DESOTO	4
DUVAL	330
ESCAMBIA	155
FLAGLER	14
FRANKLIN	0
GADSDEN	126
GULF	3
HARDEE	0
HENDRY	5
HERNANDO	43
HIGHLANDS	51
HILLSBOROUGH	296
HOLMES	2
INDIAN RIVER	21
JACKSON	14
LAKE	49
LEE	160
LEON	75
MADISON	0
MANATEE	66
MARION	116
MARTIN	18
MIAMI-DADE	1,139
MONROE	10
NASSAU	6
OKALOOSA	46
OKEECHOBEE	10
ORANGE	267
OSCEOLA	106
PALM BEACH	360
PASCO	71
PINELLAS	243
POLK	166
PUTNAM	8
SANTA ROSA	18
SARASOTA	83
SEMINOLE	79
ST. JOHNS	27
ST. LUCIE	107
SUMTER	17
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	85
WALTON	7
WASHINGTON	7
