County	X
Grand Total	6,710
ALACHUA	177
BAKER	73
BAY	77
BRADFORD	0
BREVARD	165
BROWARD	606
CALHOUN	2
CHARLOTTE	70
CITRUS	42
CLAY	78
COLLIER	124
COLUMBIA	32
DESOTO	7
DUVAL	419
ESCAMBIA	185
FLAGLER	29
FRANKLIN	1
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	0
HERNANDO	59
HIGHLANDS	49
HILLSBOROUGH	375
HOLMES	3
INDIAN RIVER	42
JACKSON	16
LAKE	145
LEE	130
LEON	141
MADISON	3
MANATEE	89
MARION	121
MARTIN	46
MIAMI-DADE	955
MONROE	8
NASSAU	11
OKALOOSA	49
OKEECHOBEE	21
ORANGE	346
OSCEOLA	170
PALM BEACH	439
PASCO	151
PINELLAS	332
POLK	272
PUTNAM	19
SANTA ROSA	25
SARASOTA	131
SEMINOLE	104
ST. JOHNS	32
ST. LUCIE	136
SUMTER	55
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	122
WALTON	16
WASHINGTON	8
