County	X
Grand Total	8,054
ALACHUA	106
BAKER	37
BAY	58
BREVARD	125
BROWARD	1,211
CALHOUN	1
CHARLOTTE	39
CITRUS	21
CLAY	49
COLLIER	188
COLUMBIA	20
DESOTO	2
DUVAL	530
ESCAMBIA	160
FLAGLER	20
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	5
HERNANDO	62
HIGHLANDS	45
HILLSBOROUGH	265
HOLMES	0
INDIAN RIVER	34
JACKSON	33
LAKE	113
LEE	234
LEON	71
MADISON	0
MANATEE	89
MARION	97
MARTIN	48
MIAMI-DADE	1,806
MONROE	15
NASSAU	6
OKALOOSA	39
OKEECHOBEE	14
ORANGE	561
OSCEOLA	202
PALM BEACH	622
PASCO	97
PINELLAS	215
POLK	142
PUTNAM	21
SANTA ROSA	20
SARASOTA	129
SEMINOLE	164
ST. JOHNS	36
ST. LUCIE	130
SUMTER	20
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	142
WALTON	4
WASHINGTON	4
