County	X
Grand Total	4,553
ALACHUA	107
BAKER	4
BAY	36
BRADFORD	0
BREVARD	72
BROWARD	415
CALHOUN	1
CHARLOTTE	86
CITRUS	55
CLAY	59
COLLIER	96
COLUMBIA	21
DESOTO	6
DUVAL	246
ESCAMBIA	116
FLAGLER	15
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	58
HIGHLANDS	51
HILLSBOROUGH	274
HOLMES	3
INDIAN RIVER	17
JACKSON	17
LAKE	90
LEE	126
LEON	48
MADISON	1
MANATEE	56
MARION	55
MARTIN	24
MIAMI-DADE	791
MONROE	4
NASSAU	11
OKALOOSA	51
OKEECHOBEE	4
ORANGE	210
OSCEOLA	94
PALM BEACH	300
PASCO	145
PINELLAS	220
POLK	150
PUTNAM	16
SANTA ROSA	15
SARASOTA	105
SEMINOLE	57
ST. JOHNS	19
ST. LUCIE	53
SUMTER	29
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	106
WALTON	8
WASHINGTON	8
