County	X
Grand Total	5,824
ALACHUA	120
BAKER	18
BAY	79
BRADFORD	0
BREVARD	126
BROWARD	643
CALHOUN	0
CHARLOTTE	66
CITRUS	57
CLAY	56
COLLIER	73
COLUMBIA	20
DESOTO	4
DUVAL	348
ESCAMBIA	142
FLAGLER	15
FRANKLIN	0
GADSDEN	0
GULF	4
HARDEE	0
HENDRY	2
HERNANDO	69
HIGHLANDS	40
HILLSBOROUGH	333
HOLMES	5
INDIAN RIVER	27
JACKSON	12
LAKE	129
LEE	114
LEON	110
MADISON	0
MANATEE	62
MARION	114
MARTIN	39
MIAMI-DADE	879
MONROE	5
NASSAU	6
OKALOOSA	56
OKEECHOBEE	14
ORANGE	287
OSCEOLA	140
PALM BEACH	410
PASCO	135
PINELLAS	292
POLK	212
PUTNAM	22
SANTA ROSA	18
SARASOTA	94
SEMINOLE	98
ST. JOHNS	18
ST. LUCIE	116
SUMTER	45
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	135
WALTON	11
WASHINGTON	4
