County	X
Grand Total	4,509
ALACHUA	123
BAKER	7
BAY	51
BRADFORD	0
BREVARD	79
BROWARD	457
CALHOUN	1
CHARLOTTE	87
CITRUS	49
CLAY	55
COLLIER	97
COLUMBIA	24
DESOTO	5
DUVAL	239
ESCAMBIA	114
FLAGLER	6
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	49
HIGHLANDS	49
HILLSBOROUGH	245
HOLMES	4
INDIAN RIVER	18
JACKSON	19
LAKE	90
LEE	121
LEON	44
MADISON	1
MANATEE	54
MARION	54
MARTIN	31
MIAMI-DADE	800
MONROE	6
NASSAU	8
OKALOOSA	50
OKEECHOBEE	7
ORANGE	217
OSCEOLA	106
PALM BEACH	278
PASCO	130
PINELLAS	198
POLK	136
PUTNAM	15
SANTA ROSA	15
SARASOTA	110
SEMINOLE	66
ST. JOHNS	18
ST. LUCIE	57
SUMTER	27
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	78
WALTON	8
WASHINGTON	6
