County	X
Grand Total	3,864
ALACHUA	65
BAKER	0
BAY	34
BRADFORD	0
BREVARD	93
BROWARD	569
CALHOUN	0
CHARLOTTE	37
CITRUS	29
CLAY	22
COLLIER	67
COLUMBIA	9
DESOTO	6
DUVAL	176
ESCAMBIA	67
FLAGLER	15
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	3
HERNANDO	51
HIGHLANDS	35
HILLSBOROUGH	211
HOLMES	0
INDIAN RIVER	17
JACKSON	4
LAKE	67
LEE	56
LEON	43
MADISON	0
MANATEE	54
MARION	76
MARTIN	19
MIAMI-DADE	595
MONROE	5
NASSAU	5
OKALOOSA	25
OKEECHOBEE	6
ORANGE	192
OSCEOLA	86
PALM BEACH	284
PASCO	70
PINELLAS	212
POLK	170
PUTNAM	2
SANTA ROSA	7
SARASOTA	62
SEMINOLE	58
ST. JOHNS	4
ST. LUCIE	87
SUMTER	64
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	100
WALTON	4
WASHINGTON	0
