County	X
Grand Total	3,233
ALACHUA	88
BAKER	30
BAY	26
BRADFORD	0
BREVARD	77
BROWARD	371
CALHOUN	0
CHARLOTTE	29
CITRUS	24
CLAY	33
COLLIER	39
COLUMBIA	10
DESOTO	3
DUVAL	198
ESCAMBIA	85
FLAGLER	9
FRANKLIN	1
GADSDEN	124
GULF	1
HARDEE	0
HENDRY	0
HERNANDO	28
HIGHLANDS	18
HILLSBOROUGH	166
HOLMES	0
INDIAN RIVER	9
JACKSON	10
LAKE	82
LEE	97
LEON	69
MADISON	0
MANATEE	21
MARION	65
MARTIN	14
MIAMI-DADE	580
MONROE	2
NASSAU	4
OKALOOSA	25
OKEECHOBEE	11
ORANGE	143
OSCEOLA	60
PALM BEACH	167
PASCO	39
PINELLAS	132
POLK	107
PUTNAM	2
SANTA ROSA	10
SARASOTA	41
SEMINOLE	47
ST. JOHNS	8
ST. LUCIE	48
SUMTER	14
SUWANNEE	0
TAYLOR	0
UNION	10
VOLUSIA	46
WALTON	4
WASHINGTON	6
