County	X
Grand Total	9,518
ALACHUA	123
BAKER	33
BAY	94
BRADFORD	0
BREVARD	130
BROWARD	1,266
CALHOUN	0
CHARLOTTE	49
CITRUS	24
CLAY	82
COLLIER	177
COLUMBIA	30
DESOTO	3
DUVAL	532
ESCAMBIA	207
FLAGLER	21
FRANKLIN	0
GADSDEN	8
GULF	0
HARDEE	0
HENDRY	9
HERNANDO	84
HIGHLANDS	63
HILLSBOROUGH	563
HOLMES	1
INDIAN RIVER	21
JACKSON	28
LAKE	126
LEE	295
LEON	81
MADISON	1
MANATEE	109
MARION	110
MARTIN	45
MIAMI-DADE	2,052
MONROE	15
NASSAU	6
OKALOOSA	42
OKEECHOBEE	20
ORANGE	605
OSCEOLA	190
PALM BEACH	624
PASCO	136
PINELLAS	481
POLK	284
PUTNAM	16
SANTA ROSA	22
SARASOTA	155
SEMINOLE	189
ST. JOHNS	37
ST. LUCIE	135
SUMTER	31
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	152
WALTON	8
WASHINGTON	3
