County	X
Grand Total	5,172
ALACHUA	120
BAKER	6
BAY	71
BRADFORD	0
BREVARD	81
BROWARD	531
CALHOUN	0
CHARLOTTE	95
CITRUS	50
CLAY	62
COLLIER	82
COLUMBIA	14
DESOTO	6
DUVAL	272
ESCAMBIA	118
FLAGLER	14
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	4
HERNANDO	73
HIGHLANDS	59
HILLSBOROUGH	329
HOLMES	3
INDIAN RIVER	12
JACKSON	10
LAKE	100
LEE	121
LEON	67
MADISON	0
MANATEE	52
MARION	73
MARTIN	32
MIAMI-DADE	937
MONROE	3
NASSAU	8
OKALOOSA	51
OKEECHOBEE	8
ORANGE	275
OSCEOLA	120
PALM BEACH	272
PASCO	145
PINELLAS	240
POLK	153
PUTNAM	18
SANTA ROSA	16
SARASOTA	122
SEMINOLE	71
ST. JOHNS	22
ST. LUCIE	88
SUMTER	46
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	101
WALTON	12
WASHINGTON	5
