County	X
Grand Total	5,512
ALACHUA	140
BAKER	2
BAY	75
BRADFORD	0
BREVARD	91
BROWARD	514
CALHOUN	0
CHARLOTTE	96
CITRUS	40
CLAY	72
COLLIER	77
COLUMBIA	24
DESOTO	4
DUVAL	311
ESCAMBIA	130
FLAGLER	12
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	5
HERNANDO	66
HIGHLANDS	54
HILLSBOROUGH	339
HOLMES	5
INDIAN RIVER	18
JACKSON	11
LAKE	98
LEE	114
LEON	69
MADISON	0
MANATEE	74
MARION	94
MARTIN	32
MIAMI-DADE	1,003
MONROE	6
NASSAU	11
OKALOOSA	46
OKEECHOBEE	8
ORANGE	295
OSCEOLA	131
PALM BEACH	303
PASCO	163
PINELLAS	249
POLK	193
PUTNAM	20
SANTA ROSA	21
SARASOTA	122
SEMINOLE	77
ST. JOHNS	27
ST. LUCIE	101
SUMTER	42
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	104
WALTON	15
WASHINGTON	6
