County	X
Grand Total	4,906
ALACHUA	80
BAKER	27
BAY	58
BRADFORD	0
BREVARD	110
BROWARD	599
CALHOUN	0
CHARLOTTE	43
CITRUS	37
CLAY	37
COLLIER	65
COLUMBIA	19
DESOTO	4
DUVAL	301
ESCAMBIA	100
FLAGLER	26
FRANKLIN	0
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	1
HERNANDO	50
HIGHLANDS	30
HILLSBOROUGH	305
HOLMES	1
INDIAN RIVER	22
JACKSON	8
LAKE	106
LEE	75
LEON	78
MADISON	4
MANATEE	52
MARION	100
MARTIN	24
MIAMI-DADE	812
MONROE	5
NASSAU	11
OKALOOSA	44
OKEECHOBEE	10
ORANGE	244
OSCEOLA	104
PALM BEACH	360
PASCO	80
PINELLAS	208
POLK	199
PUTNAM	15
SANTA ROSA	13
SARASOTA	53
SEMINOLE	69
ST. JOHNS	19
ST. LUCIE	123
SUMTER	39
SUWANNEE	0
TAYLOR	9
UNION	1
VOLUSIA	114
WALTON	9
WASHINGTON	1
