County	X
Grand Total	2,853
ALACHUA	40
BAKER	0
BAY	11
BRADFORD	0
BREVARD	73
BROWARD	440
CALHOUN	1
CHARLOTTE	19
CITRUS	14
CLAY	12
COLLIER	37
COLUMBIA	6
DESOTO	0
DUVAL	119
ESCAMBIA	23
FLAGLER	13
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	28
HIGHLANDS	31
HILLSBOROUGH	199
HOLMES	0
INDIAN RIVER	14
JACKSON	1
LAKE	40
LEE	65
LEON	22
MADISON	0
MANATEE	33
MARION	37
MARTIN	13
MIAMI-DADE	554
MONROE	6
NASSAU	8
OKALOOSA	8
OKEECHOBEE	7
ORANGE	141
OSCEOLA	55
PALM BEACH	182
PASCO	68
PINELLAS	156
POLK	123
PUTNAM	2
SANTA ROSA	4
SARASOTA	37
SEMINOLE	52
ST. JOHNS	9
ST. LUCIE	69
SUMTER	19
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	60
WALTON	2
WASHINGTON	0
