County	X
Grand Total	4,296
ALACHUA	79
BAKER	4
BAY	53
BRADFORD	0
BREVARD	93
BROWARD	576
CALHOUN	0
CHARLOTTE	42
CITRUS	22
CLAY	38
COLLIER	60
COLUMBIA	14
DESOTO	6
DUVAL	222
ESCAMBIA	84
FLAGLER	17
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	49
HIGHLANDS	35
HILLSBOROUGH	228
HOLMES	0
INDIAN RIVER	21
JACKSON	10
LAKE	86
LEE	69
LEON	12
MADISON	0
MANATEE	47
MARION	73
MARTIN	23
MIAMI-DADE	681
MONROE	5
NASSAU	7
OKALOOSA	27
OKEECHOBEE	10
ORANGE	232
OSCEOLA	106
PALM BEACH	317
PASCO	79
PINELLAS	245
POLK	192
PUTNAM	4
SANTA ROSA	6
SARASOTA	67
SEMINOLE	79
ST. JOHNS	7
ST. LUCIE	88
SUMTER	70
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	103
WALTON	5
WASHINGTON	1
