County	X
Grand Total	2,273
ALACHUA	65
BAKER	4
BAY	19
BRADFORD	0
BREVARD	69
BROWARD	222
CALHOUN	0
CHARLOTTE	34
CITRUS	18
CLAY	23
COLLIER	46
COLUMBIA	18
DESOTO	0
DUVAL	137
ESCAMBIA	40
FLAGLER	7
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	1
HERNANDO	27
HIGHLANDS	33
HILLSBOROUGH	165
HOLMES	1
INDIAN RIVER	6
JACKSON	5
LAKE	32
LEE	64
LEON	40
MADISON	0
MANATEE	20
MARION	30
MARTIN	9
MIAMI-DADE	280
MONROE	5
NASSAU	0
OKALOOSA	28
OKEECHOBEE	3
ORANGE	132
OSCEOLA	77
PALM BEACH	146
PASCO	57
PINELLAS	110
POLK	69
PUTNAM	7
SANTA ROSA	3
SARASOTA	48
SEMINOLE	43
ST. JOHNS	9
ST. LUCIE	41
SUMTER	10
SUWANNEE	0
TAYLOR	0
UNION	9
VOLUSIA	53
WALTON	7
WASHINGTON	1
