County	X
Grand Total	6,873
ALACHUA	123
BAKER	20
BAY	29
BRADFORD	0
BREVARD	105
BROWARD	960
CALHOUN	2
CHARLOTTE	32
CITRUS	30
CLAY	25
COLLIER	133
COLUMBIA	21
DESOTO	1
DUVAL	374
ESCAMBIA	164
FLAGLER	15
FRANKLIN	0
GADSDEN	126
GULF	6
HARDEE	0
HENDRY	11
HERNANDO	51
HIGHLANDS	49
HILLSBOROUGH	347
HOLMES	1
INDIAN RIVER	18
JACKSON	17
LAKE	85
LEE	201
LEON	93
MADISON	0
MANATEE	76
MARION	93
MARTIN	26
MIAMI-DADE	1,553
MONROE	7
NASSAU	4
OKALOOSA	50
OKEECHOBEE	13
ORANGE	343
OSCEOLA	144
PALM BEACH	419
PASCO	79
PINELLAS	252
POLK	213
PUTNAM	11
SANTA ROSA	14
SARASOTA	91
SEMINOLE	105
ST. JOHNS	28
ST. LUCIE	133
SUMTER	26
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	131
WALTON	14
WASHINGTON	9
