County	X
Grand Total	2,485
ALACHUA	59
BAKER	3
BAY	18
BRADFORD	0
BREVARD	61
BROWARD	251
CALHOUN	0
CHARLOTTE	30
CITRUS	22
CLAY	26
COLLIER	47
COLUMBIA	20
DESOTO	1
DUVAL	153
ESCAMBIA	51
FLAGLER	9
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	1
HERNANDO	27
HIGHLANDS	32
HILLSBOROUGH	188
HOLMES	0
INDIAN RIVER	11
JACKSON	9
LAKE	32
LEE	57
LEON	43
MADISON	0
MANATEE	28
MARION	26
MARTIN	8
MIAMI-DADE	323
MONROE	3
NASSAU	0
OKALOOSA	33
OKEECHOBEE	1
ORANGE	141
OSCEOLA	71
PALM BEACH	162
PASCO	65
PINELLAS	138
POLK	81
PUTNAM	7
SANTA ROSA	5
SARASOTA	54
SEMINOLE	47
ST. JOHNS	9
ST. LUCIE	55
SUMTER	14
SUWANNEE	0
TAYLOR	0
UNION	6
VOLUSIA	49
WALTON	5
WASHINGTON	2
