County	X
Grand Total	6,020
ALACHUA	134
BAKER	18
BAY	81
BRADFORD	0
BREVARD	132
BROWARD	678
CALHOUN	0
CHARLOTTE	65
CITRUS	60
CLAY	54
COLLIER	73
COLUMBIA	22
DESOTO	8
DUVAL	367
ESCAMBIA	146
FLAGLER	22
FRANKLIN	0
GADSDEN	0
GULF	3
HARDEE	0
HENDRY	1
HERNANDO	70
HIGHLANDS	44
HILLSBOROUGH	360
HOLMES	3
INDIAN RIVER	25
JACKSON	15
LAKE	148
LEE	124
LEON	128
MADISON	0
MANATEE	72
MARION	116
MARTIN	40
MIAMI-DADE	916
MONROE	3
NASSAU	8
OKALOOSA	55
OKEECHOBEE	14
ORANGE	260
OSCEOLA	138
PALM BEACH	403
PASCO	126
PINELLAS	298
POLK	228
PUTNAM	19
SANTA ROSA	22
SARASOTA	82
SEMINOLE	104
ST. JOHNS	18
ST. LUCIE	110
SUMTER	48
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	140
WALTON	12
WASHINGTON	7
