County	X
Grand Total	4,825
ALACHUA	87
BAKER	19
BAY	56
BRADFORD	0
BREVARD	107
BROWARD	584
CALHOUN	0
CHARLOTTE	44
CITRUS	34
CLAY	43
COLLIER	61
COLUMBIA	16
DESOTO	5
DUVAL	302
ESCAMBIA	92
FLAGLER	23
FRANKLIN	0
GADSDEN	0
GULF	3
HARDEE	0
HENDRY	1
HERNANDO	58
HIGHLANDS	37
HILLSBOROUGH	295
HOLMES	1
INDIAN RIVER	23
JACKSON	12
LAKE	108
LEE	70
LEON	82
MADISON	3
MANATEE	44
MARION	95
MARTIN	32
MIAMI-DADE	777
MONROE	5
NASSAU	12
OKALOOSA	45
OKEECHOBEE	6
ORANGE	227
OSCEOLA	108
PALM BEACH	351
PASCO	83
PINELLAS	236
POLK	203
PUTNAM	13
SANTA ROSA	12
SARASOTA	50
SEMINOLE	67
ST. JOHNS	20
ST. LUCIE	123
SUMTER	33
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	109
WALTON	7
WASHINGTON	1
