County	X
Grand Total	7,141
ALACHUA	217
BAKER	65
BAY	85
BRADFORD	0
BREVARD	162
BROWARD	632
CALHOUN	3
CHARLOTTE	77
CITRUS	46
CLAY	91
COLLIER	109
COLUMBIA	38
DESOTO	9
DUVAL	432
ESCAMBIA	216
FLAGLER	30
FRANKLIN	0
GADSDEN	0
GULF	4
HARDEE	0
HENDRY	1
HERNANDO	78
HIGHLANDS	55
HILLSBOROUGH	423
HOLMES	7
INDIAN RIVER	38
JACKSON	17
LAKE	145
LEE	115
LEON	134
MADISON	3
MANATEE	87
MARION	113
MARTIN	43
MIAMI-DADE	1,028
MONROE	5
NASSAU	13
OKALOOSA	56
OKEECHOBEE	20
ORANGE	395
OSCEOLA	192
PALM BEACH	450
PASCO	162
PINELLAS	338
POLK	279
PUTNAM	20
SANTA ROSA	30
SARASOTA	146
SEMINOLE	115
ST. JOHNS	46
ST. LUCIE	143
SUMTER	58
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	139
WALTON	21
WASHINGTON	10
