County	X
Grand Total	3,804
ALACHUA	92
BAKER	1
BAY	36
BRADFORD	0
BREVARD	87
BROWARD	484
CALHOUN	0
CHARLOTTE	36
CITRUS	27
CLAY	47
COLLIER	56
COLUMBIA	18
DESOTO	4
DUVAL	223
ESCAMBIA	105
FLAGLER	7
FRANKLIN	0
GADSDEN	175
GULF	1
HARDEE	0
HENDRY	2
HERNANDO	28
HIGHLANDS	24
HILLSBOROUGH	195
HOLMES	3
INDIAN RIVER	6
JACKSON	14
LAKE	78
LEE	117
LEON	83
MADISON	0
MANATEE	24
MARION	77
MARTIN	9
MIAMI-DADE	698
MONROE	1
NASSAU	5
OKALOOSA	27
OKEECHOBEE	9
ORANGE	174
OSCEOLA	69
PALM BEACH	160
PASCO	49
PINELLAS	132
POLK	114
PUTNAM	9
SANTA ROSA	18
SARASOTA	44
SEMINOLE	56
ST. JOHNS	10
ST. LUCIE	78
SUMTER	16
SUWANNEE	0
TAYLOR	0
UNION	10
VOLUSIA	60
WALTON	2
WASHINGTON	4
