County	X
Grand Total	2,896
ALACHUA	47
BAKER	0
BAY	11
BRADFORD	0
BREVARD	66
BROWARD	465
CALHOUN	0
CHARLOTTE	16
CITRUS	23
CLAY	14
COLLIER	42
COLUMBIA	10
DESOTO	0
DUVAL	108
ESCAMBIA	22
FLAGLER	13
FRANKLIN	0
GADSDEN	0
GULF	0
HARDEE	0
HENDRY	0
HERNANDO	26
HIGHLANDS	27
HILLSBOROUGH	197
HOLMES	0
INDIAN RIVER	13
JACKSON	1
LAKE	36
LEE	60
LEON	31
MADISON	0
MANATEE	35
MARION	34
MARTIN	6
MIAMI-DADE	556
MONROE	4
NASSAU	4
OKALOOSA	7
OKEECHOBEE	8
ORANGE	127
OSCEOLA	60
PALM BEACH	200
PASCO	59
PINELLAS	170
POLK	138
PUTNAM	5
SANTA ROSA	3
SARASOTA	38
SEMINOLE	60
ST. JOHNS	9
ST. LUCIE	65
SUMTER	19
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	58
WALTON	3
WASHINGTON	0
