County	X
Grand Total	5,381
ALACHUA	106
BAKER	26
BAY	70
BRADFORD	0
BREVARD	110
BROWARD	630
CALHOUN	0
CHARLOTTE	49
CITRUS	49
CLAY	48
COLLIER	74
COLUMBIA	19
DESOTO	5
DUVAL	324
ESCAMBIA	122
FLAGLER	22
FRANKLIN	1
GADSDEN	0
GULF	2
HARDEE	0
HENDRY	3
HERNANDO	51
HIGHLANDS	46
HILLSBOROUGH	311
HOLMES	1
INDIAN RIVER	23
JACKSON	9
LAKE	109
LEE	100
LEON	84
MADISON	2
MANATEE	71
MARION	107
MARTIN	29
MIAMI-DADE	842
MONROE	6
NASSAU	8
OKALOOSA	56
OKEECHOBEE	12
ORANGE	252
OSCEOLA	120
PALM BEACH	396
PASCO	110
PINELLAS	266
POLK	201
PUTNAM	14
SANTA ROSA	18
SARASOTA	77
SEMINOLE	77
ST. JOHNS	24
ST. LUCIE	110
SUMTER	42
SUWANNEE	0
TAYLOR	0
UNION	1
VOLUSIA	134
WALTON	11
WASHINGTON	1
