County	X
Grand Total	5,156
ALACHUA	125
BAKER	8
BAY	69
BRADFORD	0
BREVARD	82
BROWARD	513
CALHOUN	1
CHARLOTTE	88
CITRUS	47
CLAY	63
COLLIER	102
COLUMBIA	18
DESOTO	5
DUVAL	297
ESCAMBIA	116
FLAGLER	17
FRANKLIN	0
GADSDEN	0
GULF	1
HARDEE	0
HENDRY	3
HERNANDO	71
HIGHLANDS	66
HILLSBOROUGH	307
HOLMES	4
INDIAN RIVER	19
JACKSON	15
LAKE	97
LEE	130
LEON	46
MADISON	0
MANATEE	56
MARION	80
MARTIN	31
MIAMI-DADE	914
MONROE	3
NASSAU	10
OKALOOSA	57
OKEECHOBEE	10
ORANGE	240
OSCEOLA	128
PALM BEACH	280
PASCO	145
PINELLAS	241
POLK	152
PUTNAM	15
SANTA ROSA	12
SARASOTA	126
SEMINOLE	75
ST. JOHNS	23
ST. LUCIE	84
SUMTER	40
SUWANNEE	0
TAYLOR	0
UNION	0
VOLUSIA	110
WALTON	10
WASHINGTON	4
