County	X
Grand Total	2,576
ALACHUA	83
BAKER	12
BAY	25
BRADFORD	0
BREVARD	53
BROWARD	260
CALHOUN	0
CHARLOTTE	34
CITRUS	23
CLAY	36
COLLIER	32
COLUMBIA	10
DESOTO	1
DUVAL	166
ESCAMBIA	54
FLAGLER	10
FRANKLIN	0
GADSDEN	57
GULF	1
HARDEE	0
HENDRY	2
HERNANDO	21
HIGHLANDS	31
HILLSBOROUGH	150
HOLMES	0
INDIAN RIVER	7
JACKSON	12
LAKE	40
LEE	74
LEON	62
MADISON	1
MANATEE	18
MARION	56
MARTIN	14
MIAMI-DADE	392
MONROE	2
NASSAU	1
OKALOOSA	16
OKEECHOBEE	18
ORANGE	109
OSCEOLA	51
PALM BEACH	159
PASCO	27
PINELLAS	109
POLK	104
PUTNAM	6
SANTA ROSA	5
SARASOTA	36
SEMINOLE	33
ST. JOHNS	15
ST. LUCIE	60
SUMTER	7
SUWANNEE	0
TAYLOR	0
UNION	12
VOLUSIA	61
WALTON	6
WASHINGTON	2
